cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-0.05874978883765173,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,+,NA,28,5876.81980247249,-11697.230639948757,21.29344897352894,6.01918646619517e-06
-0.04686989019922649,+,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,+,NA,26,5874.657512729435,-11696.961640107751,21.562448814534946,5.26168959620791e-06
-0.066741195303339,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,+,NA,NA,28,5876.481438203814,-11696.553911411405,21.970177510880603,4.29129195668892e-06
-0.06146711916086343,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,28,5876.340148600491,-11696.27133220476,22.2527567175257,3.72586201947904e-06
-0.051596709423685556,+,+,+,+,+,+,NA,+,NA,+,+,NA,+,NA,NA,NA,27,5875.05921588402,-11695.737767115472,22.786321806814158,2.85341263871168e-06
-0.05944375197489677,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,+,NA,29,5876.841919467821,-11695.245551781989,23.278537140296976,2.23090655172216e-06
-0.06743181210169727,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,29,5876.50352838939,-11694.568769625128,23.955319297157985,1.59044992812854e-06
-0.05756189439664229,+,+,+,+,+,+,NA,+,+,+,+,NA,+,NA,NA,NA,28,5875.222507959439,-11694.036050922656,24.48803799963025,1.2185450908774e-06
-0.05226245089874898,+,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,28,5875.0800071414415,-11693.75104928666,24.773039635625537,1.05670627276921e-06
-0.05823458394130285,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,30,5876.913364416625,-11693.358096936046,25.165991986239533,8.68211965132355e-07
-0.06622093402306703,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,30,5876.575475718634,-11692.682319540065,25.841769382221173,6.1927360499009e-07
-0.06853452316972279,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,+,+,NA,32,5878.39019771494,-11692.248003193934,26.276085728351973,4.98393045265421e-07
-0.058227083885462626,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,29,5875.243295180892,-11692.048303208132,26.47578571415397,4.51032329221964e-07
-0.06922706532678224,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,+,NA,33,5878.41245782404,-11690.259106268351,28.264982653934567,1.84369251898107e-07
-0.05700856831594166,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,30,5875.314040337393,-11690.159448777582,28.364640144704026,1.75407494149548e-07
-0.05935183018694659,+,+,+,+,+,+,NA,+,+,+,+,NA,+,NA,+,NA,32,5877.129624537012,-11689.726856838079,28.79723208420728,1.41290186439083e-07
-0.06204684272993392,+,+,+,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,32,5876.649147343496,-11688.765902451047,29.75818647123924,8.73863106617538e-08
-0.06801944042289396,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,34,5878.484340809036,-11688.368429411263,30.15565951102326,7.16363138389632e-08
-0.060009115061756775,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,+,NA,33,5877.150003613959,-11687.734197848189,30.789891074096886,5.21688900088098e-08
-0.06800819001964703,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,33,5876.812469059628,-11687.059128739527,31.46496018275866,3.72239282138772e-08
-0.05878963768467439,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,34,5877.2207880344595,-11685.841323862109,32.68276506017719,2.02478648267896e-08
