cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-9.491602107122048,+,+,+,+,+,NA,+,+,+,NA,+,NA,NA,+,NA,NA,24,59694.97572045308,-119341.64955411371,18.39827015179617,3.50194076444398e-05
-9.49867523311837,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,24,59694.852127216676,-119341.4023676409,18.645456624610233,3.09480247225541e-05
-9.49933249442954,+,+,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,23,59693.23493735721,-119340.19220871844,19.855615547072375,1.68985820205186e-05
-9.485731051833799,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,25,59695.02222170127,-119339.71731708145,20.33050718405866,1.33268912948607e-05
-9.491144448706754,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,25,59694.98401150619,-119339.64089669129,20.40692757422221,1.28272741980766e-05
-9.486529259034105,+,+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,+,NA,24,59693.402861742776,-119338.5038366931,21.543987572411424,7.26482131665843e-06
-9.498943657432719,+,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,+,NA,24,59693.24317241653,-119338.1844580406,21.863366224904894,6.1925959411452e-06
-9.484396164622657,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,26,59695.02393758474,-119337.69448981836,22.3533344471507,4.84704996020179e-06
-9.489875543485947,+,+,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,26,59694.98577672362,-119337.61816809612,22.42965616939182,4.6655671531051e-06
-9.486131551768256,+,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,+,NA,25,59693.411117157106,-119336.49510799312,23.552716272388352,2.66093975469471e-06
-9.487525560243656,+,NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,22,59690.20428379247,-119336.15410442174,23.893719843763392,2.24381505330826e-06
-9.498570844905315,+,+,+,+,+,+,NA,+,NA,+,+,NA,+,NA,NA,NA,27,59695.136020814694,-119335.89137697683,24.156447288682102,1.96759865721901e-06
