"","cond((Int))","disp((Int))","cond(DC)","cond(diversity)","cond(position)","cond(smooth)","cond(DC:diversity)","cond(DC:position)","cond(DC:smooth)","cond(diversity:position)","cond(diversity:smooth)","cond(position:smooth)","cond(DC:diversity:position)","cond(DC:diversity:smooth)","cond(DC:position:smooth)","cond(diversity:position:smooth)","cond(DC:diversity:position:smooth)","df","logLik","AICc","delta","weight"
"137",-1.116569293901,"+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,105812.728983983,-211615.442945432,1338.99115045278,6.7631491960728e-292
"138",-1.11927678355576,"+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,105812.972490999,-211613.923945184,1340.51015070081,3.1644792717684e-292
"139",-1.1061398753805,"+","+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,105812.854335467,-211613.68763412,1340.74646176549,2.81182287399351e-292
"140",-1.11916209272922,"+",NA,"+","+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,6,105812.738391206,-211613.455745597,1340.97835028864,2.50399816661584e-292
"141",-1.11586399162238,"+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,105812.985817229,-211611.943578345,1342.49051754019,1.1756310829417e-292
"142",-1.11220248723489,"+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,105812.896160897,-211611.764265681,1342.66983020405,1.07481522528863e-292
"143",-1.10873812716246,"+","+","+","+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,7,105812.863804345,-211611.699552577,1342.73454330824,1.0405945278983e-292
"144",-1.12193793269216,"+","+","+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,105813.027682045,-211610.019282907,1344.41481297833,4.49175039696283e-293
"145",-1.11847732136538,"+","+","+","+",NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,8,105812.99537536,-211609.954669537,1344.47942634797,4.34895586122117e-293
"146",-1.11480783106497,"+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,8,105812.90565529,-211609.775229398,1344.65886648695,3.97575916547514e-293
"147",-1.12456826680144,"+","+","+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,9,105813.037306932,-211608.029501081,1346.40459480396,1.66088660036032e-293
"148",-1.11772086208651,"+","+","+","+",NA,"+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,10,105813.103672675,-211606.152193683,1348.28190220214,6.49662590308045e-294
"149",-1.06897681094829,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,105683.504670199,-211352.981284286,1601.45281159904,0
"150",-1.05852319550921,"+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,105683.63696363,-211351.237846077,1603.19624980795,0
"151",-1.06512842617977,"+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,105683.509384057,-211350.982686931,1603.4514089546,0
"152",-1.05480487211594,"+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,105683.641663488,-211349.238214194,1605.19588169095,0
"153",-1.06040240188535,"+","+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,105683.680904749,-211347.30665783,1607.12743805497,0
"154",-1.05711875262422,"+","+",NA,NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,12,105683.878088479,-211343.677922631,1610.75617325434,0
"155",-1.05685250429961,"+",NA,"+",NA,"+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,12,105683.563886366,-211343.049518405,1611.38457747994,0
"156",-1.05336853889109,"+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,13,105683.882736546,-211341.674153473,1612.75994241273,0
"157",-1.04656933546288,"+","+","+",NA,"+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,13,105683.695848739,-211341.300377859,1613.13371802654,0
"158",-1.05901943338972,"+","+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,14,105683.921670762,-211339.737946293,1614.6961495927,0
"159",-1.05228384519495,"+","+","+",NA,"+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,14,105683.735155598,-211339.364915964,1615.06917992173,0
"160",-1.04521569334175,"+","+","+",NA,"+",NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,17,105683.937089864,-211333.720488116,1620.71360776923,0
"161",-1.05090955262646,"+","+","+",NA,"+","+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,18,105683.976143294,-211331.780470462,1622.65362542286,0
"162",-1.04383752909745,"+","+","+",NA,"+","+",NA,"+",NA,"+",NA,NA,"+",NA,NA,NA,22,105684.027807567,-211323.801151972,1630.6329439136,0
"163",-0.430867580438504,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,105464.99751241,-210923.989018813,2030.44507707222,0
"164",-0.421004186553345,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,105465.106200835,-210922.202389154,2032.23170673085,0
"165",-0.427196319372867,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,105465.002997622,-210921.995982729,2032.43811315624,0
"166",-0.417361761990632,"+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,105465.111645725,-210920.208268915,2034.22582696981,0
"167",-0.422820216042673,"+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,105465.1460061,-210918.270975386,2036.16312049932,0
